City_ID,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
0,IN,1584214774,19.82,84.8,99,76,73.89,6.49
1,RU,1584214125,70.63,147.92,69,98,-28.14,4.25
2,AU,1584214737,-33.87,121.9,75,88,64.4,16.11
3,CK,1584214095,-21.21,-159.78,82,78,82.4,5.82
4,AU,1584214189,-33.65,115.33,83,98,66.0,13.27
5,TO,1584214185,-21.2,-175.2,75,88,80.6,10.29
6,CA,1584214181,55.74,-97.86,20,45,5.0,3.36
7,MV,1584214188,-0.6,73.08,21,61,83.46,2.59
8,AR,1584214592,-38.0,-57.56,0,60,71.6,12.75
9,NZ,1584214407,-46.28,169.85,100,80,57.0,1.01
10,EC,1584214184,-0.74,-90.35,20,74,84.2,9.17
11,PF,1584214181,-23.12,-134.97,65,78,77.52,14.07
12,CA,1584214383,65.28,-126.83,75,66,14.0,5.82
13,VE,1584214776,9.06,-62.05,82,41,91.67,8.37
14,ES,1584214776,42.56,-2.36,0,75,48.2,4.7
15,VE,1584214776,7.77,-72.22,75,62,84.2,2.24
16,ZA,1584214187,-33.92,25.57,20,88,66.2,12.75
17,NZ,1584214191,-46.6,168.33,95,86,51.01,1.01
18,CN,1584214776,40.09,113.29,0,41,31.91,8.46
19,ID,1584214777,-3.75,103.64,96,98,69.17,1.07
20,CA,1584214777,54.72,-113.29,100,79,3.51,5.28
21,PF,1584214192,-9.8,-139.03,2,73,81.66,11.21
22,US,1584214102,22.08,-159.32,20,64,75.2,4.7
23,CL,1584214182,-53.15,-70.92,75,51,60.8,31.09
24,RU,1584214738,46.49,135.88,100,96,7.65,2.06
25,GL,1584214183,60.14,-45.24,68,66,22.8,13.65
26,HN,1584214777,15.58,-87.23,20,79,84.2,9.17
27,NZ,1584214190,-35.17,173.17,0,75,63.12,7.58
28,ZA,1584214188,-33.59,26.89,25,88,69.01,4.0
29,BW,1584214778,-20.75,26.65,91,54,78.75,13.85
30,MZ,1584214705,-23.86,35.38,20,83,78.8,8.48
31,AR,1584214181,-54.8,-68.3,20,50,57.2,9.17
32,BR,1584214778,-17.71,-39.25,97,79,80.55,11.88
33,US,1584214749,43.37,-124.22,90,87,45.0,9.17
34,FR,1584214779,43.4,4.98,0,45,57.99,11.41
35,NZ,1584213968,-46.19,168.86,85,86,51.01,1.01
36,PT,1584214603,38.52,-28.7,40,68,64.4,12.75
37,NA,1584214779,-19.57,18.12,51,61,69.21,4.72
38,BR,1584214779,-7.47,-34.81,20,74,84.2,11.41
39,RU,1584214779,59.62,52.47,49,90,23.85,3.62
40,CA,1584214780,66.15,-65.71,5,67,-22.0,3.36
41,IT,1584214780,41.88,16.18,75,87,53.6,5.82
42,SD,1584214780,13.18,32.74,20,16,76.01,12.08
43,RU,1584214780,69.3,139.9,0,98,-35.91,1.28
44,AR,1584214780,-38.55,-58.74,0,74,70.0,5.99
45,GA,1584214620,-1.57,9.26,100,94,77.99,1.16
46,CA,1584214187,69.45,-133.04,90,85,21.2,26.4
47,US,1584213905,41.14,-73.36,1,28,55.99,14.99
48,ZA,1584214108,-33.93,18.42,40,77,70.0,16.11
49,MU,1584214732,-20.01,57.66,40,94,77.0,1.12
50,NA,1584214781,-22.56,17.08,0,27,75.2,3.36
51,BR,1584214190,-30.18,-50.21,0,79,76.44,12.64
52,MR,1584214543,20.5,-10.07,0,7,71.69,4.61
53,US,1584213996,42.1,-79.24,1,64,41.0,8.05
54,MU,1584214111,-20.41,57.7,40,94,77.0,1.12
55,KI,1584214185,3.07,172.79,100,70,83.28,7.92
56,RU,1584214782,66.03,60.17,99,90,3.65,11.65
57,JM,1584214782,17.88,-76.41,20,58,87.8,13.87
58,RU,1584214782,52.52,111.54,0,94,12.33,2.77
59,RU,1584214609,68.75,161.3,100,82,-8.73,3.13
60,MV,1584214783,0.53,72.93,47,63,83.21,5.23
61,MU,1584214750,-20.52,57.52,40,94,77.0,1.12
62,RU,1584214783,50.36,108.75,7,96,13.59,1.59
63,HK,1584214517,22.29,114.16,40,56,69.8,8.05
64,CL,1584214184,-29.95,-71.34,20,72,68.0,14.99
65,US,1584214338,45.52,-122.68,90,80,39.99,8.05
66,RE,1584214784,-21.36,55.77,75,83,78.8,13.87
67,ID,1584214784,1.3,124.91,40,100,73.4,2.24
68,MG,1584214784,-25.17,45.05,100,81,73.67,12.33
